# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20170911094018
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61541.nc,44.759,45.034,31.78,33.171,2002-01-02T14:28:00Z,2002-03-23T09:57:00Z,Naval Oceanographic Office (NAVO),2017-07-05T10:29:57Z,D,PRES DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61543.nc,42.924,43.897,30.778,32.304,2002-01-02T14:29:00Z,2002-02-19T12:21:00Z,Naval Oceanographic Office (NAVO),2017-07-05T10:29:57Z,D,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61545.nc,43.407,43.7,30.848,30.928,2002-01-02T14:28:00Z,2002-01-04T03:58:00Z,Naval Oceanographic Office (NAVO),2017-07-05T10:29:57Z,D,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61546.nc,41.526,44.122,29.011,38.579,2002-01-02T14:29:00Z,2002-04-06T09:05:00Z,Naval Oceanographic Office (NAVO),2017-07-05T10:29:57Z,D,PRES DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61547.nc,42.598,43.262,30.43,31.611,2002-01-02T14:29:00Z,2002-01-29T06:00:00Z,Naval Oceanographic Office (NAVO),2017-07-05T10:29:57Z,D,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61549.nc,42.365,43.259,30.253,35.011,2002-01-02T14:28:00Z,2002-03-30T06:13:00Z,Unknown institution,2017-07-05T10:29:57Z,D,PRES DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61687.nc,44.41,44.882,29.637,32.906,2013-11-21T14:00:00Z,2014-01-09T13:00:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61689.nc,43.365,44.139,29.46,32.679,2009-08-03T07:30:00Z,2012-12-18T13:00:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61690.nc,41.436,44.81,28.527,38.362,2009-08-03T07:30:00Z,2014-05-28T02:00:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61691.nc,41.279,44.828,28.08,33.937,2009-08-03T07:30:00Z,2014-03-11T01:00:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61768.nc,44.044,44.87,28.664,30.075,2005-07-07T13:05:00Z,2005-09-09T13:17:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_PR_TE_61769.nc,42.45,42.771,30.348,31.085,2005-07-07T13:13:00Z,2005-08-01T17:16:00Z,Unknown institution,2017-07-05T10:29:57Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61552.nc,41.622,41.638,28.061,28.1,2004-10-23T00:00:00Z,2004-11-03T00:10:00Z,Unknown institution,2017-07-14T07:34:28Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61553.nc,42.029,42.032,35.138,35.163,2004-10-23T00:20:00Z,2004-11-03T00:20:00Z,Unknown institution,2017-07-14T07:34:27Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61556.nc,41.232,41.236,29.105,29.112,2004-10-27T10:50:00Z,2005-04-08T14:20:00Z,Unknown institution,2017-07-14T07:34:26Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61557.nc,41.127,44.368,28.452,30.828,2005-01-31T15:00:00Z,2005-10-15T11:10:00Z,Unknown institution,2017-07-14T07:34:26Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61664.nc,41.698,42.628,31.47,36.218,2008-09-20T12:40:00Z,2008-10-28T18:00:00Z,Unknown institution,2017-07-14T07:34:28Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61666.nc,42.379,43.277,32.8,33.472,2008-09-05T13:00:00Z,2008-09-29T18:10:00Z,Unknown institution,2017-07-14T07:34:29Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61670.nc,41.375,43.192,29.32,34.907,2008-09-21T11:40:00Z,2008-11-06T18:30:00Z,Unknown institution,2017-07-14T07:34:28Z,R,DEPH TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61767.nc,41.331,44.401,28.675,40.219,2005-01-31T15:00:00Z,2005-08-31T13:00:00Z,Unknown institution,2017-07-14T07:34:29Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61768.nc,44.024,44.87,28.664,30.826,2005-04-12T09:10:00Z,2005-09-09T13:25:00Z,Unknown institution,2017-07-14T07:34:30Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/drifter/GL_TS_DB_61769.nc,41.1,43.335,28.382,32.33,2005-04-12T10:10:00Z,2005-10-07T15:20:00Z,Unknown institution,2017-07-14T07:34:28Z,R,DEPH TEMP ATMP ATPT ATMS
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/etc/GL_PR_CT_SHO1013.nc,40.45833,40.59167,26.39,26.49667,1997-09-09T11:45:00Z,1997-09-10T14:37:00Z,Unknown institution,2017-07-07T07:54:34Z,R,DEPH PSAL TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/etc/GL_PR_CT_UQIH.nc,41.23333,42.96667,29.98333,40.06667,1978-02-04T12:00:00Z,1978-02-10T14:00:00Z,Unknown institution,2017-07-07T09:16:12Z,R,DEPH TEMP PSAL
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Balchik.nc,43.404,43.404,28.165,28.165,2011-03-17T16:31:00Z,2017-07-31T23:58:00Z,Institute of Oceanology-BAS Varna,2017-08-02T03:48:12Z,R,DEPH TEMP PSAL SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Burgas.nc,42.488,42.488,27.479,27.479,2013-05-27T15:21:00Z,2017-06-18T00:24:00Z,Institute of Oceanology-BAS Varna,2017-08-02T04:35:30Z,R,DEPH SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_BurgasBuoySURF.nc,42.507,42.507,27.6,27.6,2016-02-15T20:00:00Z,2017-01-18T12:30:00Z,Institute of Oceanology-BAS Varna,2017-09-07T13:49:17Z,R,DEPH TEMP PSAL FLU2 DOXY CDOM VAVH VTZA TUR4 ATMS DRYT WSPD WDIR GSPD GDIR RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_BurgasSouth.nc,42.454,42.454,27.535,27.535,2015-05-18T20:40:00Z,2016-08-30T12:47:00Z,Institute of Oceanology-BAS Varna,2017-08-02T05:17:36Z,R,DEPH TEMP PSAL SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_CG.nc,43.8022,43.8022,28.6025,28.6025,2016-01-01T00:15:00Z,2016-12-31T23:45:00ZZ,Institutul National de Cercetare-Dezvoltare pentru Geologie si Geoecologie Marina (GeoEcoMar) Romania,2017-03-03T09:23:50Z,R,DEPH TEMP CNDC FLU2 DOX1 ATMS DRYT WSPD WDIR GSPD HCSP HCDT
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Cazino-Mamaia.nc,44.233,44.233,28.632,28.632,2013-04-05T00:00:00Z,2015-10-23T00:00:00Z,National Institute for Marine Research and Development - Grigore Antipa,2017-03-05T09:04:29Z,R,DEPH TEMP PSAL SLEV FLU2 DOX1
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Constanta.nc,44.16,44.16,28.6,28.6,2015-11-01T00:00:00Z,2017-07-30T03:02:45Z,National Institute for Marine Research and Development(Romania),2017-08-01T23:47:13Z,R,DEPH SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Constanta2.nc,44.1475,44.1475,28.672,28.672,2015-11-01T00:00:00Z,2017-07-30T03:02:45Z,Joint Research Centre(Europe) National institute for Earth Physics(Romania),2017-08-01T23:55:12Z,R,DEPH SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_EUXRo02.nc,44.318,44.318,30.417,30.417,2013-06-01T01:00:00Z,2017-08-31T23:00:00Z,National Institute for Research and Development of Marine Geology and Geoecology - GeoEcoMar,2017-09-08T18:59:29Z,R,DEPH TEMP PSAL FLU2 DOXY OSAT HCSP HCDT TUR4 ATMS DRYT WSPD WDIR GSPD GDIR RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_EUXRo03.nc,43.98,43.98,29.936,29.936,2013-06-01T01:00:00Z,2017-08-31T23:00:00Z,National Institute for Research and Development of Marine Geology and Geoecology - GeoEcoMar,2017-09-08T19:01:24Z,R,DEPH TEMP PSAL FLU2 DOXY OSAT HCSP HCDT TUR4 ATMS DRYT WSPD WDIR GSPD GDIR RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_EUXRo01.nc,44.7,44.7,30.779,30.779,2013-06-01T01:00:00Z,2017-08-31T23:00:00Z,National Institute for Research and Development of Marine Geology and Geoecology - GeoEcoMar,2017-09-08T21:01:43Z,R,DEPH TEMP PSAL FLU2 DOXY OSAT HCSP HCDT TUR4 ATMS DRYT WSPD WDIR GSPD GDIR RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Galata.nc,43.04,43.04,28.19,28.19,2006-11-17T15:24:37Z,2009-12-13T13:35:54Z,Institute of Oceanology-BAS Varna,2017-09-11T09:40:18Z,R,VAVH VTZA
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Karantina.nc,43.173,43.173,27.924,27.924,2015-05-05T10:30:00Z,2016-08-31T23:45:00Z,Institute of Oceanology-BAS Varna,2017-03-04T15:04:23Z,R,DEPH TEMP
